 'ANI',0.000597409,Aniak Airport,
 'RDU',0.000594671,Raleigh Durham International Airport,
 'YEV',0.000593218,Inuvik Mike Zubko Airport,
 'YWG',0.000592489,Winnipeg / James Armstrong Richardson International Airport,
 'PSA',0.000591378,Pisa International Airport,
 'EIN',0.000590384,Eindhoven Airport,
 'BKI',0.000588505,Kota Kinabalu International Airport,
 'DRW',0.000588214,Darwin International Airport,
 'KHN',0.00058771,Nanchang Changbei International Airport,
 'SON',0.000587096,Santo Pekoa International Airport,
 'RHO',0.000586172,Diagoras Airport,
 'HYD',0.000586035,Rajiv Gandhi International Airport,
 'AZA',0.000584448,Phoenix-Mesa-Gateway Airport,
 'YFB',0.000583293,Iqaluit Airport,
 'INC',0.000582694,Yinchuan,
 'MAO',0.000581973,Eduardo Gomes International Airport,
 'CTA',0.000579281,Catania-Fontanarossa Airport,
 'HOU',0.000578522,William P Hobby Airport,
 'MCI',0.000574498,Kansas City International Airport,
 'SJC',0.000573747,Norman Y. Mineta San Jose International Airport,
 'HER',0.000572994,Heraklion International Nikos Kazantzakis Airport,
 'BEY',0.000571006,Beirut Rafic Hariri International Airport,
 'NAP',0.000570988,Naples International Airport,
 'PIT',0.000570055,Pittsburgh International Airport,
 'WNZ',0.000569845,Wenzhou Longwan International Airport,
 'OKA',0.000568253,Naha Airport,
 'TYN',0.000566857,Taiyuan Wusu Airport,
 'BOD',0.000565834,Bordeaux-M?rignac Airport,
 'BEG',0.000565022,Belgrade Nikola Tesla Airport,
 'MYY',0.000564568,Miri Airport,
 'EMA',0.000564463,East Midlands Airport,
 'TIJ',0.000563724,General Abelardo L. Rodr?guez International Airport,
 'SXM',0.000563243,Princess Juliana International Airport,
 'MSY',0.00056267,Louis Armstrong New Orleans International Airport,
 'SYX',0.000561465,Sanya Phoenix International Airport,
 'PAC',0.000561449,Marcos A. Gelabert International Airport,
 'CGB',0.000558054,Marechal Rondon Airport,
 'HAJ',0.000557094,Hannover Airport,
 'KWL',0.000555646,Guilin Liangjiang International Airport,
 'ACC',0.000555404,Kotoka International Airport,
 'JJU',0.000555111,Qaqortoq Heliport,
 'SUB',0.000554809,Juanda International Airport,
 'IND',0.000552316,Indianapolis International Airport,
 'MFM',0.000551769,Macau International Airport,
 'LHW',0.000550845,Lanzhou Zhongchuan Airport,
 'HKT',0.000549868,Phuket International Airport,
 'DAC',0.000548338,Hazrat Shahjalal International Airport,
 'PUS',0.000545682,Gimhae International Airport,
 'BVA',0.000544769,Paris Beauvais Till? Airport,
 'ABJ',0.000544055,Port Bouet Airport,
 'NGB',0.00054387,Ningbo Lishe International Airport,
 'CJU',0.000543036,Jeju International Airport,
 'OAK',0.000542142,Metropolitan Oakland International Airport,
 'IBZ',0.000541411,Ibiza Airport,
 'MAA',0.000540322,Chennai International Airport,
 'TNR',0.000540198,Ivato Airport,
 'XNN',0.000535912,Xining Caojiabu Airport,
 'BER',0.000534783,Berlin Brandenburg Airport,
 'ZUH',0.000534287,Zhuhai Jinwan Airport,
 'MEM',0.000533539,Memphis International Airport,
 'ITM',0.000530924,Osaka International Airport,
 'CWB',0.000530602,Afonso Pena Airport,
 'TOS',0.000526745,"Troms? Airport,",
 'MLE',0.00052462,Mal? International Airport,
 'LPL',0.000524602,Liverpool John Lennon Airport,
 'VNO',0.000523346,Vilnius International Airport,
 'HFE',0.000522627,Hefei Luogang International Airport,
 'SAL',0.000521742,Monse?or ?scar Arnulfo Romero International Airport,
 'MTY',0.000517618,General Mariano Escobedo International Airport,
 'HET',0.000516566,Baita International Airport,
 'BAH',0.000515196,Bahrain International Airport,
 'KEF',0.000512323,Keflavik International Airport,
 'SAT',0.00051217,San Antonio International Airport,
 'CMH',0.000511972,John Glenn Columbus International Airport,
 'KJA',0.000510905,Yemelyanovo Airport,
 'AGM',0.000508779,Tasiilaq,
 'GYE',0.000505182,Jos? Joaqu?n de Olmedo International Airport,
 'LCY',0.000505069,London City Airport,
 'BZE',0.00050255,Philip S. W. Goldson International Airport,
 'YOW',0.000501282,Ottawa Macdonald-Cartier International Airport,
 'PVR',0.000499096,Licenciado Gustavo D?az Ordaz International Airport,
 'SDQ',0.000498771,Las Am?ricas International Airport,
 'ISB',0.000497304,New Islamabad International Airport,
 'SVQ',0.00049681,Sevilla Airport,
 'GDN',0.000494634,Gdansk Lech Walesa Airport,
 'REC',0.000494314,Guararapes - Gilberto Freyre International Airport,
 'BLL',0.000493559,Billund Airport,
 'SOF',0.000492023,Sofia Airport,
 'KHH',0.000489992,Kaohsiung International Airport,
 'IKA',0.000489987,Imam Khomeini International Airport,
 'ZAG',0.000487614,Zagreb Airport,
 'RSW',0.000485292,Southwest Florida International Airport,
 'SMF',0.000483998,Sacramento International Airport,
 'DWC',0.000483962,Al Maktoum International Airport,
 'CGQ',0.000482099,Longjia Airport,
 'SJD',0.000480434,Los Cabos International Airport,
 'GYD',0.000476541,Heydar Aliyev International Airport,
 'LBA',0.000476044,Leeds Bradford Airport,
 'CLO',0.000473107,Alfonso Bonilla Aragon International Airport,
 'TSE',0.000470538,Astana International Airport,
 'YKS',0.000470413,Yakutsk Airport,
 'MSQ',0.000469433,Minsk National Airport,
 'TRD',0.000469186,Trondheim Airport V?rnes,
 'EBB',0.000468275,Entebbe International Airport,
 'CAG',0.000464907,Cagliari Elmas Airport,
 'SUV',0.000464669,Nausori International Airport,
 'HHN',0.000464127,Frankfurt-Hahn Airport,
 'PIE',0.000463791,St Petersburg Clearwater International Airport,
 'GOH',0.000462488,Godthaab / Nuuk Airport,
 'FYU',0.000461697,Fort Yukon Airport,
 'TBS',0.000461413,Tbilisi International Airport,
 'NCL',0.000461183,Newcastle Airport,
 'DAD',0.000460919,Da Nang International Airport,
 'UUS',0.000460768,Yuzhno-Sakhalinsk Airport,
 'DAR',0.000459953,Julius Nyerere International Airport,
 'MKE',0.000459083,General Mitchell International Airport,
 'MBJ',0.000458171,Sangster International Airport,
 'GRO',0.000455658,Girona Airport,
 'CIA',0.00045233,Ciampino?G. B. Pastine International Airport,
 'NAY',0.000449188,Beijing Nanyuan Airport,
 'EVN',0.00044803,Zvartnots International Airport,
 'CNX',0.000447861,Chiang Mai International Airport,
 'BRI',0.000447746,Bari Karol Wojtyla Airport,
 'MDE',0.000447056,Jose Maria C?rdova International Airport,
 'SWA',0.000447015,Jieyang Chaoshan International Airport,
 'DUT',0.000446303,Unalaska Airport,
 'SVG',0.000446045,Stavanger Airport Sola,
 'DKR',0.000442509,L?opold S?dar Senghor International Airport,
 'SYZ',0.000442436,Shiraz Shahid Dastghaib International Airport,
 'MPM',0.000441931,Maputo Airport,
 'GAU',0.000441185,Lokpriya Gopinath Bordoloi International Airport,
 'LHE',0.000441131,Alama Iqbal International Airport,
 'BOO',0.00044056,Bod? Airport,
 'YVP',0.000436137,Kuujjuaq Airport,
 'TFF',0.000436026,Tef? Airport,
 'GUA',0.000434789,La Aurora Airport,
